label	description
Amazon GameLift	"Anyway to speed up Fleet Activation?
Typically when spinning up a new fleet in gamelift, it takes about 15 minutes before it becomes ""ACTIVE"". Seems to sit on ""NEW"" for about 1 minute, then ""DOWNLOADING"" for about 3 minutes (even though the zip is only 1MB) then ""VALIDATING"" for 2 minutes, then ""ACTIVATING"" for about 9 minutes... Is there anyway to speed that up? Less concurrent processes maybe (I'm using 20 at the moment) or higher max concurrent game session activations? (I'm doing 5 at the moment)."
Amazon GameLift	"Mono C# GameLift server on Amazon Linux instances?
Would rather not deploy to windows instances if I can help it. Have a game server that is written in C# and works well with Mono on linux, but the command line for invoking it is ""mono GameService.exe"", which doesn't work with how gamelift enforces ""/local/game/"" as the prefix. Is there a way to get this working?"
Amazon GameLift	"Re: Mono C# GameLift server on Amazon Linux instances?
I was able to get this working by installing the mono-complete rpm in an install script, creating a symlink to mono in the /usr/local/game folder, and then calling mono as the launch path and the exe as the argument. works great!"
Amazon GameLift	"[PLUGIN] unreal engine aws Game Lift Client / Server Blueprint Plugin
For those who use gamelift on the unreal engine.

https://forums.unrealengine.com/community/community-content-tools-and-tutorials/1585349-aws-game-lift-client-server-blueprint-plugin-with-blueprint-support

Edited by: wukakuki on Feb 17, 2019 1:13 AM"
Amazon GameLift	"FlexMatch Matchmaking times out
Hey there, I am using GameLift with Unreal, and I set up the FlexMatch system exactly as it is described in the docs. ​

I have a queue on eu-central-1, which has a fleet linked to running at us-west-2. To that, I got a matchmaker ruleset and configuration on eu-central-1. The configuration uses the queue.

I integrated everything in my client and server, but if I start my matchmaking, it's at SEARCHING for 60 seconds (my matchmaking timeout I defined in the configuration), and then returns TIMED_OUT, even though the fleet has one instance up. I also tried to create a new session through the queue using start-game-session-placement from the AWS CLI. That did create a new session successfully on my server too, but the matchmaking won't simply find that.

Help is greatly appreciated"
Amazon GameLift	"Run Lumberyard on AMZ Workspaces?
Has anyone been able to run Lumberyard on Workspaces?

I'm working with my son to start game programming and want to use workspaces, so as not to buy a new machine.

Thanks in advance
Richard"
Amazon GameLift	"Issue: GameLiftLocal returns incomplete data for DescribeGameSessions
Calling describe-game-sessions to GameLiftLocal returns a data object resembling this:

{ GameSessionId: 'd8bc1640-0539-11e8-b345-d78bed63c5ff',
       FleetId: 'fleet-abcd-1234-debugmode',
       MaximumPlayerSessionCount: 3,
       Status: 'ACTIVE',
       IpAddress: '127.0.0.1',
       Port: 7777 }

Which is missing certain data fields from the GameSession object. The important data I'm missing is: CurrentPlayerSessionCount
 which would be helpful for testing adding players to existing sessions with open player slots.

Edited by: jeffchamberlain on Jan 29, 2018 3:17 PM"
Amazon GameLift	"How to teminate ""Activating"" fleets
Hi! Can you terminate a fleet in ""activating"" state? I've tried almost everything with AWS CLI. Delete-fleet it does not work because ""from ACTIVATING to DELETING is not a valid transition"", changed the capacity to 0 but I still have a instance on ""PENDING"" and even tho I removed the build, the fleet keeps sending ""Server started correctly but did not call InitSDK() in the GameLift Server SDK within 5 minutes"" events.

I guess I could just launch another fleet with the new build but I guess that new fleet is ""out"" of the free tier.

Thanks in advance!"
Amazon GameLift	"Re: How to teminate ""Activating"" fleets
Sorry, at this time you can't delete a fleet which is still activating, you will need to wait until the fleet transitions to ACTIVE or FAILED before you can delete it.

As far as exceeding the free tier by having parallel instances running, the free tier is actually calculated by the total number of hours of the free tier instance type used.  That is currently 125 free hours of the c3.large.gamelift instance type.  It doesn't matter if you run one of those instances for 125 hours, or 125 for 1 hour.  If you don't exceed the total hours, you should still stay within the free tier.

Finally, the primary GameLift user forum is located on the GameDev site, where you'll find a more active community for future questions:
https://gamedev.amazon.com/forums/spaces/123/gamelift-discussion.html"
Amazon GameLift	"Re: How to teminate ""Activating"" fleets
I got same problem with ""Activating"" status

Currently I'm using Free Tier to evaluate GameLift, but when I try to launch second instance I got error
An error occurred (LimitExceededException) when calling the CreateFleet operation: Current limit of instance type of c4.large have been reached.


Same problem was addressed here:
https://gamedev.amazon.com/forums/questions/64377/strangeness-with-current-limit-of-instance-has-bee.html

Please, help.
It take up to 8 hours until stuck fleet could be terminated"
Amazon GameLift	"Fleet stuck on ""Activating"" for 4 hours.
I created a fleet and messed up when I entered the launch parameters. The fleet is now stuck in ""activating"" and I can't delete it until it times out. 

From what I've found it should time out after ~1h45m, but it has been much longer than that now. 
https://gamedev.amazon.com/forums/questions/28804/gamelift-fleet-hangs-on-activating-status-how-to-d.html

Could it have something to do with me deleting the build it was created on?

Because I'm still trying out the service and not paying for anything yet I'm limited to one fleet. So this issue stops me from continuing with development.

If you could delete it manually it would be great!
Fleet ID: fleet-5dbd16cd-c94b-4527-a55b-97d5523e936d

Any help is appreciated,
Thank you"
Amazon GameLift	"Steam + Amazon GameLift Integration
Hello, 

We're currently developing a game where:

the game is in Unreal Engine 4.17
the game uses the Steam online subsystem
we want to use GameLift to manage player sessions, games and matchmaking


We would like to ask, what is the actual (step-by-step) flow for integrating GameLift with a Steam online subsystem?

We see that Disc Jam has achieved this goal: http://steamcommunity.com/games/415880/announcements/detail/2906362192348502566

Basically, we want to do the same with our game.

Also, an additional question:

After the game client sends a requests to GameLift such as lobby creation, player session creation or joining, is there anyway to communicate additional info back to the client once it responds?

Edited by: Pao on Sep 18, 2017 5:03 AM

Edited by: Pao on Sep 18, 2017 5:03 AM"
Amazon GameLift	"how to update SDK for unreal engine 4.17
My Unreal Project has just migrated into from 4.16 to 4.17.

When i started up my project, it said the SDK is not supported in UE 4.17

I'd like to fix it myself, but i couldn'd find a place working on a version of Unreal Engine in the source of GameLiftSDK.

Edited by: gawoon on Sep 18, 2017 2:06 AM

Edited by: gawoon on Sep 18, 2017 2:07 AM"
