category,name,description,url
Analytics,Amazon Athena,Query Data in S3 using SQL,https://aws.amazon.com/athena/faqs
Analytics,Amazon CloudSearch,Managed Search Service,https://aws.amazon.com/cloudsearch/faqs
Analytics,Amazon Elasticsearch Service,Run and Scale Elasticsearch Clusters,https://aws.amazon.com/elasticsearch-service/faqs
Analytics,Amazon EMR,Hosted Hadoop Framework,https://aws.amazon.com/elasticmapreduce/faqs
Analytics,Amazon Kinesis,Work with Real-time Streaming Data,https://aws.amazon.com/kinesis/faqs
Analytics,Amazon Redshift,"Fast, Simple, Cost-effective Data Warehousing",https://aws.amazon.com/redshift/faqs
Analytics,Amazon Quicksight,Fast Business Analytics Service,https://aws.amazon.com/quicksight/faqs
Analytics,AWS Data Pipeline,"Orchestration Service for Periodic, Data-driven Workflows",https://aws.amazon.com/datapipeline/faqs
Analytics,AWS Glue,Prepare and Load Data,https://aws.amazon.com/glue/faqs
Analytics,Amazon Managed Streaming for Kafka,Fully managed Apache Kafka service,https://aws.amazon.com/msk/faqs
Analytics,AWS Lake Formation,Build a secure data lake in days,https://aws.amazon.com/lake-formation/faqs
Application Integration,AWS Step Functions,Coordinate Distributed Applications,https://aws.amazon.com/step-functions/faqs
Application Integration,Amazon Simple Queue Service (SQS) ,Managed Message Queues,https://aws.amazon.com/sqs/faqs
Application Integration,Amazon Simple Notification Service (SNS),"Pub/Sub, Mobile Push and SMS",https://aws.amazon.com/sns/faqs
Application Integration,Amazon MQ,Managed Message Broker for ActiveMQ,https://aws.amazon.com/amazon-mq/faqs
Application Integration,Amazon AppSync,Build data-driven apps with real-time and offline capabilities,https://aws.amazon.com/appsync/faqs
AR & VR,Amazon Sumerian,Build and Run VR and AR Applications,https://aws.amazon.com/sumerian/faqs
AWS Cost Management,AWS Cost Explorer,Analyze Your AWS Cost and Usage,https://aws.amazon.com/aws-cost-management/faqs
AWS Cost Management,AWS Budgets,Set Custom Cost and Usage Budgets,https://aws.amazon.com/aws-cost-management/faqs
AWS Cost Management,Reserved Instance Reporting,Dive Deeper into Your Reserved Instances (RIs),https://aws.amazon.com/aws-cost-management/faqs
AWS Cost Management,AWS Cost and Usage Report,Access Comprehensive Cost and Usage Information,https://aws.amazon.com/aws-cost-management/faqs
Blockchain,Amazon Managed Blockchain,Create and manage scalable blockchain networks,https://aws.amazon.com/blockchain/faqs
Blockchain,Amazon Quantum Ledger Database (QLDB),Fully managed ledger database,https://aws.amazon.com/qldb/faqs
Business Applications,Alexa for Business,Empower your Organization with Alexa,https://aws.amazon.com/alexaforbusiness/faqs
Business Applications,Amazon Chime,"Frustration-free Meetings, Video Calls, and Chat",https://aws.amazon.com/chime/faqs
Business Applications,Amazon WorkMail,Secure and Managed Business Email and Calendaring,https://aws.amazon.com/workmail/faqs
Compute,Amazon EC2,Virtual Servers in the Cloud,https://aws.amazon.com/ec2/faqs
Compute,Amazon EC2 Auto Scaling,Scale Compute Capacity to Meet Demand,https://aws.amazon.com/ec2/faqs
Compute,Amazon Elastic Container Service,Run and Manage Docker Containers,https://aws.amazon.com/ecs/faqs
Compute,Amazon Elastic Container Service for Kubernetes,Run Managed Kubernetes on AWS,https://aws.amazon.com/eks/faqs
Compute,Amazon Elastic Container Registry,Store and Retrieve Docker Images,https://aws.amazon.com/ecr/faqs
Compute,Amazon Lightsail,Launch and Manage Virtual Private Servers,https://aws.amazon.com/lightsail/faqs
Compute,AWS Batch,Run Batch Jobs at Any Scale,https://aws.amazon.com/batch/faqs
Compute,AWS Elastic Beanstalk,Run and Manage Web Apps,https://aws.amazon.com/elasticbeanstalk/faqs
Compute,AWS Fargate,Run Containers without Managing Servers or Clusters,https://aws.amazon.com/fargate/faqs
Compute,AWS Lambda,Run your Code in Response to Events,https://aws.amazon.com/lambda/faqs
Compute,AWS Serverless Application Repository,"Discover, Deploy, and Publish Serverless Applications",https://aws.amazon.com/serverlessrepo/faqs
Compute,VMware Cloud on AWS,Build a Hybrid Cloud without Custom Hardware,https://aws.amazon.com/vmware/faqs
Compute,AWS Outposts,Run AWS services on-premises,https://aws.amazon.com/outposts/faqs
Compute,Elastic Load Balancing,Distribute incoming traffic across multiple targets,https://aws.amazon.com/elasticloadbalancing/faqs
Customer Engagement,Amazon Connect,Cloud-based Contact Center,https://aws.amazon.com/connect/faqs
Customer Engagement,Amazon Pinpoint,Personalized User Engagement Across Channels,https://aws.amazon.com/pinpoint/faqs
Customer Engagement,Amazon Simple Email Service (SES),Email Sending and Receiving,https://aws.amazon.com/ses/faqs
