name,description,url
Amazon Athena,Query data in S3 using SQL,https://aws.amazon.com/athena/faqs
Amazon CloudSearch,Managed search service,https://aws.amazon.com/cloudsearch/faqs
Amazon EMR,Hosted Hadoop framework,https://aws.amazon.com/elasticmapreduce/faqs
Amazon Elasticsearch Service,Run and scale Elasticsearch clusters,https://aws.amazon.com/elasticsearch-service/faqs
Amazon Kinesis,Analyze real-time video and data streams,https://aws.amazon.com/kinesis/faqs
Amazon Managed Streaming for Kafka,Fully managed Apache Kafka service,https://aws.amazon.com/msk/faqs
Amazon Redshift,"Fast, simple, cost-effective data warehousing",https://aws.amazon.com/redshift/faqs
Amazon Quicksight,Fast business analytics service,https://aws.amazon.com/quicksight/faqs
AWS Data Pipeline,"Orchestration service for periodic, data-driven workflows",https://aws.amazon.com/datapipeline/faqs
AWS Glue,Prepare and load data,https://aws.amazon.com/glue/faqs
AWS Lake Formation,Build a secure data lake in days,https://aws.amazon.com/lake-formation/faqs
AWS Step Functions,Coordination for distributed applications,https://aws.amazon.com/step-functions/faqs
Amazon MQ,Managed message broker for ActiveMQ,https://aws.amazon.com/amazon-mq/faqs
Amazon Simple Notification Service (SNS),Managed message topics for pub/sub,https://aws.amazon.com/sns/faqs
Amazon Simple Queue Service (SQS) ,Managed message queues,https://aws.amazon.com/sqs/faqs
AWS AppSync,Build data-driven apps with real-time and offline capabilities,https://aws.amazon.com/appsync/faqs
Amazon Sumerian,Build and run VR and AR applications,https://aws.amazon.com/sumerian/faqs
AWS Cost Explorer,Analyze your AWS cost and usage,https://aws.amazon.com/aws-cost-management/faqs
AWS Budgets,Set custom cost and usage budgets,https://aws.amazon.com/aws-cost-management/faqs
AWS Cost and Usage Report,Access comprehensive cost and usage information,https://aws.amazon.com/aws-cost-management/faqs
Reserved Instance Reporting,Dive deeper into your reserved instances (RIs),https://aws.amazon.com/aws-cost-management/faqs
Amazon Managed Blockchain,Create and manage scalable blockchain networks,https://aws.amazon.com/managed-blockchain/faqs
Amazon Quantum Ledger Database (QLDB),Fully managed ledger database,https://aws.amazon.com/qldb/faqs
Alexa for Business,Empower your organization with Alexa,https://aws.amazon.com/alexaforbusiness/faqs
Amazon Chime,"Frustration-free meetings, video calls, and chat",https://aws.amazon.com/chime/faqs
Amazon WorkMail,Secure email and calendaring,https://aws.amazon.com/workmail/faqs
Amazon EC2,Virtual servers in the cloud,https://aws.amazon.com/ec2/faqs
Amazon EC2 Auto Scaling,Scale compute capacity to meet demand,https://aws.amazon.com/ec2/faqs
