label	description
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"SimpleQueue and ReadCount
Hello!I am currently using Amazon Simple Queue in a test application.One operation reads items from the queue.I want to read all items of the queue. (There are 10 items in the queue)I set the ReadCount to 25 and the ReadLockTimeoutSeconds to 0My Query for Reading the Queue looks like htis:http://webservices.amazon.com/onca/xml?Service=AWSSimpleQueueService    &AWSAccessKeyId=xyz1234    &Operation=Read    &QueueName=myQueueName    &ReadCount=25    &ReadLockTimeoutSeconds=0Now i would expect i can read all 10 items (as i set ReadCount to 25) in one request, but the request only returns 2-4 items once.Does anybody have an idea what could be wrong?Greetz          fitzecarraldo"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
Looks like I have been banned a long with most other users.  Is this true?  I know that I have not been using any bots or anything that violates the TOS to my knowledge and would like to shed some light on this issue.  I also had about $170 on my dashboard waiting to be sent to the 'my account' page that I can no longer access.  I hope that this can be resolved and I can get back to my account and continue turking soon.  Thanks."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
I have similar concerns. My approval rate was roughly 87% and suddenly the site started putting me into the infinite forward loop mode. I've been trying as hard as I can to get the right artist, fix up the accented characters if they were missing, etc.I have spoken to other people, and lots of them seen to suffer these symptoms?"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
HOLD ME"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
Same for me.I've not violated the TOS nor have I automated the script in any way...What's up Amazon? I hope this is just a site error!"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
I hear you...same thing happened to me. Was waiting on over $100 to transfer over so I could use it."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
Yep, at about 6:00, there were a LOT of people banned, including me."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
I just want whats owed, :retard:"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
If they re-instate our accounts or fix the error, I better get the $100+ I earned"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
QFT!!"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
I also, am not able to log in.  I didn't even do that many hits!  I did about 1,000, but it was over 4 hours!  And of course i wasn't using a bot, or else i wouldn't be upset about this.  I saw every artist name put into the box and submitted it and got another and just kept going!  Its upsetting because i was owed another 55 dollars, and i spent a lot of my own time  working on this so i could buy people christmas presents ON AMAZON!"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
I was banned as well and i was doing everything right. PLEASE unban us!"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
Go to requestor.mturk.com, you can still get your monies out that way <3"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mass Ban?
I know that....that's my main source of hope that this is just some server issue that'll be fixed"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Login Screen Error
Heyhttp://www.mturk.com/mturk/beginsigninCan't access the login page, comes back with a cookie errorWhats up?

<hr size='1' /><span class='wintiny'>Edited 12/4/2005 9:45 pm ET by <i>Kent A wilson</i> <!-- A23VOUH7VUH9 --></span>"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Login Screen Error
I am also having this problem, as are many people that I know. None of us have been using bots, either."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Login Screen Error
I have been having similar problems with logging in to mturk.amazon.com that indicate I was banned.  I too, however, have never used an automated script or bot to complete any of my HITs.  I am aware this is not the proper place to raise such an issue, but there is seemingly no way to raise a customer service issue such as this through mturk.amazon.com (except through an automated email form that redirects you to itself).Can you either give me an email address to send my concerns to, or address them here?  Thanks in advance."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Login Screen Error
this is so ridiculous!  how do we get un banned?"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Requester Toolkit
Problems building Mechanical Turk Requester Toolkit. Got following error  in connection with [generate-axis] target of build.xml script:
'The <urn:maven-artifact-ant:dependencies> type doesn't support the nested ""dependency"" element. '
My Windows 2000 system has JDK 5.0, Ant 1.6.1, JWSDP 1.6, and Axis 1.2.1 installed, with their environment variables set as per docs.
I want JAXB binding, so I first ran ant as follows:
G:\mech_turk_src> ant -Djwsdp.dir=F:\Sun\jwsdp-1.6 prepare-jaxb
Build failed with error: 'The <urn:maven-artifact-ant:dependencies> type doesn't support the nested ""pom"" element.'
As a workaround, I copied JAXB-related .jar files (8) to the \binding\jaxb\pom folder, which helped get me past the [prepare-jaxb] target. I've studied the build.xml and rtk-with-jaxb.pom files, and they both show nested <dependency> elements. Is this caused by Ant or  the Maven (maven-artifact-ant-2.0-dep.jar  not handling the <urn:maven-artifact-ant:dependencies> namespace for the nested <dependency> elements?"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Requester Toolkit
Just wanted to let you know that your message has been seen.  We'll get someone to respond to this very soon."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Requester Toolkit
Thanks, John, for replying to my inquiry. I'm still unable to build the Mechanical Turk Requester Toolkit, but I have made significant progress. Apparently, in the build.xml file, the absence of the namespace prefix ""artifact:"" for 'pom' and 'dependency' nested child elements was causing the following build failures:
prepare-jaxb:
BUILD FAILEDG:\mechanicalturk-rtk-1.0-beta-src\build.xml:182: The <urn:org.apache.maven.artifact.ant:install> type doesn't support the nested ""pom"" element.
BUILD FAILEDG:\mechanicalturk-rtk-1.0-beta-src\build.xml:243: Following error occured while executing this lineG:\mechanicalturk-rtk-1.0-beta-src\build.xml:72: The <urn:maven-artifact-ant:dependencies> type doesn't support the nested ""dependency"" element.
After editing build.xml, the dependency resources were downloaded from the Maven repository. However, when I issued the following command:
> ant -Dbinding=jaxb
I got the following message:
compile:
check-axis:      [get] Getting: http://mechanicalturk.amazonaws.com/AWSMechanicalTurk/AWSMechanicalTurkRequester.wsdl
generate-axis:[artifact:dependencies] Downloading: commons-discovery/commons-discovery/0.2/commons-discovery-0.2.pom[artifact:dependencies] attempting to create parent directories for destination: commons-discovery-0.2.pom.tmp[artifact:dependencies] Transferring 1K[artifact:dependencies] Downloading: commons-logging/commons-logging/1.0.3/commons-logging-1.0.3.pom[artifact:dependencies] attempting to create parent directories for destination: commons-logging-1.0.3.pom.tmp[artifact:dependencies] Transferring 0K[artifact:dependencies] Downloading: axis/axis-wsdl4j/1.2/axis-wsdl4j-1.2.pom[artifact:dependencies] attempting to create parent directories for destination: axis-wsdl4j-1.2.pom.tmp[artifact:dependencies] Transferring 0K[artifact:dependencies] Downloading: axis/axis-wsdl4j/1.2/axis-wsdl4j-1.2.jar[artifact:dependencies] attempting to create parent directories for destination: axis-wsdl4j-1.2.jar.tmp[artifact:dependencies] Transferring 123K[artifact:dependencies] Downloading: commons-logging/commons-logging/1.0.3/commons-logging-1.0.3.jar[artifact:dependencies] attempting to create parent directories for destination: commons-logging-1.0.3.jar.tmp[artifact:dependencies] Transferring 30K[artifact:dependencies] Downloading: axis/axis-ant/1.2/axis-ant-1.2.jar[artifact:dependencies] attempting to create parent directories for destination: axis-ant-1.2.jar.tmp[artifact:dependencies] Transferring 32K[artifact:dependencies] Downloading: commons-discovery/commons-discovery/0.2/commons-discovery-0.2.jar[artifact:dependencies] attempting to create parent directories for destination: commons-discovery-0.2.jar.tmp[artifact:dependencies] Transferring 69K
BUILD FAILEDG:\mechanicalturk-rtk-1.0-beta-src\build.xml:241: Following error occured whileexecuting this linejava.lang.NoClassDefFoundError: org/apache/tools/ant/types/FileList$FileName
Total time: 17 seconds
Any suggestions? Your feedback and assistance would be greatly appreciated. Perhaps it might be helpful (to Maven newbies like myself) if the Requester Toolkit were compiled and archived for download.
Regards,
Jim Deegan
J.e.deegan@att.net"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Requester Toolkit
I was able to build the Mechanical Turk Toolkit after changing the ANT_HOME environment variable (in Windows) to point to the JWSDP-1.6\apache-ant directory. ANT_HOME had pointed to Apache Ant 1.6.1, which does not include the FileList$FileName.class in ant.jar
Will do a clean install to see if errors mentioned in my first post are resolved, i.e.:
The <urn:maven-artifact-ant:dependencies> type doesn't support the nested ""pom"" or ""dependency"" elements.
 rondo(ala)turk"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Question
What's the status on the MTurk? Doesn't seem to be much up but the Artist verification HIT's. Are the masses overrunning the rest? There are rumors that automated scripts are taking the whole thing to pieces."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Question
<DIV dir=""ltr"" align=""left""><FONT color=""black""><FONT face=""Arial,Geneva,Verdana,Sans-Serif""><FONT size=""2"">Thank you for your concern about the status of Amazon Mechanical Turk. First, let me reassure you that mturk.com is up and running.  While automated scripts are not consistent with the spirit of Amazon Mechanical Turk, they have not been a problem.  We have been more then pleased with the response from the community in the short time that this service has been in Beta.  Mturk.com's immediate popularity and the large number of workers has helped our Requesters get a large number of HITs done in a short amount of time.  The current number of available HITs is a reflection of this.  Rest assured, Amazon is actively working with Requesters to get <SPAN class=""058110322-30112005"">many </SPAN>more <SPAN class=""058110322-30112005"">types of </SPAN></FONT></FONT></FONT><FONT face=""Arial,Geneva,Verdana,Sans-Serif"" color=""black"" size=""2"">HITs online.If you are interested in becoming a Requester, we encourage you to sign up at (</FONT><FONT title=""http://requester.mturk.com/mturk/welcome"" face=""Arial,Geneva,Verdana,Sans-Serif"" color=""black"" size=""2"">http://requester.mturk.com/mturk/welcome</FONT><FONT face=""Arial,Geneva,Verdana,Sans-Serif"" color=""black"" size=""2"">).  Additionally, there's some help for using the Amazon Mechanical Turk web services at </FONT><FONT title=""http://awszone.techies.net/"" face=""Arial,Geneva,Verdana,Sans-Serif"" color=""black"" size=""2"">http://awszone.techies.net/</FONT><FONT face=""Arial,Geneva,Verdana,Sans-Serif"" color=""black"" size=""2"">.</FONT></DIV>"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Question
Ahh, very good! I must ask, however, if there is a particular style of script you reffer to. There are those which merely improve the user interface to allow for quicker responses from workers. Are these frowned upon? I understand that something which automates replies completely would be akin to fraud, but what about the 'honest' types?Thank you,Tony

<hr size='1' /><span class='wintiny'>Edited 12/1/2005 11:26 am ET by <i>tony_plocica</i> <!-- A3PMC5NZBHQA --></span>"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Question
Tony,
Thanks for helping me qualify my earlier response.  I'm specifically referring to bots that provide automatic replies.  They're dishonest,  increase the cost to the Requesters and ultimately take valuable HITs away from honest Workers.
As to anything that improves the UI to improve your productivity, by all means, we encourage that.
Regards,
John"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Question
Thanks John,I'll pass that on, there's been something of a concern about the TukOp and Faster Image Adjust scripts and it's good to know it's unfounded. Everyone will be greatly relieved!Tony"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Question
John, will the A9 hits be returning in the near future?"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Question
so programs like the mturk wrapper or hit finder are completely ok?"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Turk Question
Bueller...Bueller...John...anyone...any answer on the a9 HITs?"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mechanical Turk question
Quick Question - I have 700+ pending HITs on mechanical turk?  Is this normal to be so far behind?  Also, there is a $1.50 difference between the amount I have on the status page, and the ""my account"" page.
 
Thanks!"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"Mechanical Turk question
Each requestor determines exactly how HITs are approved.  To contact the requestor:1. From mturk.com, select the ""HITS"" tab and make sure the ""Hits available to you"" link is selected.2. Open up one of the a9 blocks by selecting ""A9 BlockView(tm) Image Adjustment -- *"" where * is one of the locales.3. You should see the link ""Contact the Requester of this HIT"" on the lower right hand side of the HIT description.  Select that link.4. You should now see a form where you can provide your question."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	".net turk signature example?
I'm having trouble computing a signature that turk will accept. Anybody else have working C#, VB, etc. code?"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	".net turk signature example?
Can you please post an example of what you've tried?"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	".net turk signature example?
My VB 2005 Express code snippet is attached. Be sure to plug in your  own keys. My response is always ""AWS.NotAuthorized"". I am registered as a turk requester."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	".net turk signature example?
<SPAN style=""BACKGROUND-COLOR: #ffffff"">This</SPAN> <SPAN style=""BACKGROUND-COLOR: #ffffff"">code</SPAN> <SPAN style=""BACKGROUND-COLOR: #ffffff"">also</SPAN> <SPAN style=""BACKGROUND-COLOR: #ffffff"">fails</SPAN> <SPAN style=""BACKGROUND-COLOR: #ffffff"">with</SPAN> <SPAN style=""BACKGROUND-COLOR: #ffffff"">ASCII</SPAN> <SPAN style=""BACKGROUND-COLOR: #ffffff"">encoding</SPAN> <SPAN style=""BACKGROUND-COLOR: #ffffff"">instead</SPAN> <SPAN style=""BACKGROUND-COLOR: #ffffff"">of</SPAN> <SPAN style=""BACKGROUND-COLOR: #ffffff"">utf16.</SPAN>"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	".net turk signature example?
I'll take a look at it.  Thanx."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	".net turk signature example?
Elena tried creating the .net wrappers yesterday but got mixed results - she was using a beta copy.  She's installing a GA version and will let you know."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	".net turk signature example?
<TABLE cellSpacing=""0"" cellPadding=""0"" width=""100%"" border=""0"">
<TBODY>
<TR>
<TD class=""msgleft"" width=""1%"" rowSpan=""4""></TD>
<TD class=""wintiny"" noWrap="""" align=""right"">10132.2 in reply to 10132.1 </TD></TR>
<TR>
<TD height=""8""></TD></TR>
<TR>
<TD class=""msgtxt"">
Here is C# code sample:
for XML :<FONT color=""#0000ff"" size=""2"">private</FONT><FONT size=""2""> </FONT><FONT color=""#0000ff"" size=""2"">string</FONT><FONT size=""2""> GenSignature(</FONT><FONT color=""#0000ff"" size=""2"">string</FONT><FONT size=""2""> data, </FONT><FONT color=""#0000ff"" size=""2"">string</FONT><FONT size=""2""> key) {    HMACSHA1 hmac = </FONT><FONT color=""#0000ff"" size=""2"">new</FONT><FONT size=""2""> HMACSHA1(Encoding.UTF8.GetBytes(key));</FONT><FONT color=""#0000ff"" size=""2"">    byte</FONT><FONT size=""2""> [] rawData = Encoding.UTF8.GetBytes(data);</FONT><FONT color=""#0000ff"" size=""2"">    byte</FONT><FONT size=""2""> [] rawHmac = hmac.ComputeHash(rawData);</FONT><FONT color=""#0000ff"" size=""2"">    return</FONT><FONT size=""2""> Convert.ToBase64String(rawHmac);</FONT><FONT size=""2"">} </FONT>
<FONT size=""2"">for SOAP (Your case):<FONT color=""#0000ff"">private</FONT> <FONT color=""#0000ff"">byte</FONT><FONT color=""#000000"">[]</FONT> GenSignature(<FONT color=""#0000ff"">string</FONT> data, <FONT color=""#0000ff"">string</FONT> key) {    HMACSHA1 hmac = <FONT color=""#0000ff"">new</FONT> HMACSHA1(Encoding.UTF8.GetBytes(key));<FONT color=""#0000ff"">    byte</FONT>  rawHmac = hmac.ComputeHash(rawData);<FONT color=""#0000ff"">    return</FONT> rawHmac;} </FONT>
<FONT size=""2"">- Yury</FONT></TD></TR></TBODY></TABLE>"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	".net turk signature example?
Doesn't SOAP also require base64 encoding?
How do you format the timestamp string placed in data before computing the hash?
I've RTFM.  I believe my code should ping turk, but I've never gotten turk to accept my signature."
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	".net turk signature example?
Try this (there is code generator for C Sharp):
http://awszone.techies.net/
 
-elena"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	".net turk signature example?
<FONT color=""darkslategray"">Just in case if you still need this.</FONT>
<FONT color=""darkslategray"">>Doesn't SOAP also require base64 encoding?</FONT>It does and XMLSerializer will encode bytes for me. 
/// from genarated file[System.Xml.Serialization.XmlElementAttributeDataType=""base64Binary"")]public System.Byte[] Signature
<FONT color=""darkslategray"">>How do you format the timestamp string placed in data before computing the hash? </FONT><FONT size=""2"">DateTime.UtcNow.ToString(""yyyy-MM-dd'T'HH:mm:ss'Z'"") 
</FONT>
 
<HR SIZE=""1"" />
<SPAN class=""wintiny"">Edited 11/21/2005 6:21 am ET by <I>Better World Books</I> <!-- A18OZMH8UQIN --></SPAN>

<hr size='1' /><span class='wintiny'>Edited 11/21/2005 6:22 am ET by <i>Better World Books</i> <!-- A18OZMH8UQIN --></span>"
Sample Code & Libraries Articles & Tutorials and Amazon Machine Images	"what is my subscription id?
The AWS web site tells me I've previously registered as a AWS Developer, but I can't figure out how to discover what my subscriber id is.There is no ""send email"" link that I can find, even though the FAQ indicates there is."
